cycle_id,candidate_index,strategy_name,strategy_key,research_route,feature_profile,model_family,training_logic,hypothesis,config_path,workspace_dir
cycle_001_20260529_214625,1,autonomous_research_brain_v5_1__feature__c001_001_a868f9d0,a868f9d0ac71,feature,momentum_cross_section,lightgbm_gpu,baseline,当前特征空间过窄，需要扩充动量、波动、流动性、相对强弱与交互项。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_001_a868f9d0.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_001_a868f9d0
cycle_001_20260529_214625,2,autonomous_research_brain_v5_1__feature__c001_002_0b490f76,0b490f76f886,feature,vol_liq_quality,ridge_ranker,weighted_recent,引入新特征组合可能比继续调模型参数更有效。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_002_0b490f76.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_002_0b490f76
cycle_001_20260529_214625,3,autonomous_research_brain_v5_1__data__c001_003_dbfe4066,dbfe406630ff,data,generated_feature_pack,ridge_ranker,feature_select,现有数据维度可能不够，需要侦察新的数据方向。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_003_dbfe4066.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_003_dbfe4066
cycle_001_20260529_214625,4,autonomous_research_brain_v5_1__data__c001_004_956c0fea,956c0feac0da,data,generated_feature_pack,lightgbm_gpu,baseline,引入更有解释力的新字段可能优于继续调旧特征。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_004_956c0fea.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_004_956c0fea
cycle_001_20260529_214625,5,autonomous_research_brain_v5_1__risk__c001_005_29d2f8ec,29d2f8ec5935,risk,baseline_plus,lightgbm_gpu,baseline,回撤主要来自风险预算而不是模型本身。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_005_29d2f8ec.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_005_29d2f8ec
cycle_001_20260529_214625,6,autonomous_research_brain_v5_1__risk__c001_006_e98f759e,e98f759eebb4,risk,baseline_plus,ridge_ranker,weighted_recent,需要重写弱市与回撤阶段的仓位控制。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_006_e98f759e.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_006_e98f759e
cycle_001_20260529_214625,7,autonomous_research_brain_v5_1__portfolio__c001_007_953ccfe9,953ccfe9d0db,portfolio,baseline_plus,lightgbm_gpu,feature_select,Alpha 也许存在，但组合构建把它吃掉了。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_007_953ccfe9.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_007_953ccfe9
cycle_001_20260529_214625,8,autonomous_research_brain_v5_1__portfolio__c001_008_f3e293b7,f3e293b794e6,portfolio,baseline_plus,lightgbm_gpu,baseline,需要调整持仓数、行业约束与总仓位模板。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_008_f3e293b7.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_008_f3e293b7
cycle_001_20260529_214625,9,autonomous_research_brain_v5_1__training__c001_009_2f000f0c,2f000f0cb82f,training,baseline_plus,lightgbm_gpu,generated_training,当前训练逻辑可能过拟合，需要更强正则与更近端加权。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_009_2f000f0c.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_009_2f000f0c
cycle_001_20260529_214625,10,autonomous_research_brain_v5_1__model__c001_010_e117462c,e117462c908e,model,baseline_plus,lightgbm_gpu,weighted_recent,当前模型家族过窄，需要引入不同归纳偏置的模型。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_010_e117462c.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_010_e117462c
cycle_001_20260529_214625,11,autonomous_research_brain_v5_1__hybrid__c001_011_04692cb4,04692cb46b75,hybrid,generated_feature_pack,lightgbm_gpu,generated_training,需要跨路线联合试验，而不是单点修补。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_011_04692cb4.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_011_04692cb4
cycle_001_20260529_214625,12,autonomous_research_brain_v5_1__hybrid__c001_012_0feb4e6f,0feb4e6faae4,hybrid,baseline_plus,ridge_ranker,baseline,当前最优方向可能是“特征+模型”或“模型+训练”的联动变体。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\configs\candidate_012_0feb4e6f.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260529_214625\labs\candidate_012_0feb4e6f
