cycle_id,candidate_index,strategy_name,strategy_key,research_route,feature_profile,model_family,training_logic,hypothesis,config_path,workspace_dir
cycle_001_20260530_004538,1,autonomous_research_brain_v5_1__feature__c001_001_8a87f957,8a87f95739e8,feature,momentum_cross_section,ridge_ranker,feature_select,当前特征空间过窄，需要扩充动量、波动、流动性、相对强弱与交互项。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_001_8a87f957.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_001_8a87f957
cycle_001_20260530_004538,2,autonomous_research_brain_v5_1__feature__c001_002_7b8928c0,7b8928c0e32c,feature,vol_liq_quality,lightgbm_gpu,generated_training,引入新特征组合可能比继续调模型参数更有效。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_002_7b8928c0.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_002_7b8928c0
cycle_001_20260530_004538,3,autonomous_research_brain_v5_1__data__c001_003_ce484121,ce484121228f,data,generated_feature_pack,ridge_ranker,baseline,现有数据维度可能不够，需要侦察新的数据方向。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_003_ce484121.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_003_ce484121
cycle_001_20260530_004538,4,autonomous_research_brain_v5_1__data__c001_004_08fbc870,08fbc870384a,data,generated_feature_pack,lightgbm_gpu,weighted_recent,引入更有解释力的新字段可能优于继续调旧特征。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_004_08fbc870.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_004_08fbc870
cycle_001_20260530_004538,5,autonomous_research_brain_v5_1__risk__c001_005_991ebaef,991ebaefc4e9,risk,generated_feature_pack,ridge_ranker,feature_select,需要重写弱市与回撤阶段的仓位控制。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_005_991ebaef.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_005_991ebaef
cycle_001_20260530_004538,6,autonomous_research_brain_v5_1__risk__c001_006_92327b12,92327b12a4a4,risk,generated_feature_pack,lightgbm_gpu,generated_training,最大回撤过高，风险预算路线必须提高优先级。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_006_92327b12.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_006_92327b12
cycle_001_20260530_004538,7,autonomous_research_brain_v5_1__portfolio__c001_007_7d0c7673,7d0c76737df4,portfolio,baseline_plus,lightgbm_gpu,baseline,Alpha 也许存在，但组合构建把它吃掉了。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_007_7d0c7673.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_007_7d0c7673
cycle_001_20260530_004538,8,autonomous_research_brain_v5_1__portfolio__c001_008_72d3275d,72d3275d9831,portfolio,baseline_plus,lightgbm_gpu,weighted_recent,需要调整持仓数、行业约束与总仓位模板。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_008_72d3275d.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_008_72d3275d
cycle_001_20260530_004538,9,autonomous_research_brain_v5_1__training__c001_009_4ef6199f,4ef6199ff4fa,training,generated_feature_pack,ridge_ranker,generated_training,当前训练逻辑可能过拟合，需要更强正则与更近端加权。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_009_4ef6199f.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_009_4ef6199f
cycle_001_20260530_004538,10,autonomous_research_brain_v5_1__model__c001_010_98093ebd,98093ebdd1fa,model,generated_feature_pack,lightgbm_gpu,generated_training,当前模型家族过窄，需要引入不同归纳偏置的模型。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_010_98093ebd.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_010_98093ebd
cycle_001_20260530_004538,11,autonomous_research_brain_v5_1__hybrid__c001_011_a10aa20d,a10aa20d2d38,hybrid,generated_feature_pack,lightgbm_gpu,generated_training,需要跨路线联合试验，而不是单点修补。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_011_a10aa20d.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_011_a10aa20d
cycle_001_20260530_004538,12,autonomous_research_brain_v5_1__hybrid__c001_012_5d3f7678,5d3f76785529,hybrid,baseline_plus,ridge_ranker,baseline,当前最优方向可能是“特征+模型”或“模型+训练”的联动变体。,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\configs\candidate_012_5d3f7678.json,H:\Ashare\data\research_hub_integrated\cycles\cycle_001_20260530_004538\labs\candidate_012_5d3f7678
